system:time_start,precipitation
"Jan 3, 2020",16.784
"Jan 4, 2020",8.43
"Jan 5, 2020",12.424
"Jan 6, 2020",12.177
"Jan 7, 2020",7.615
"Jan 8, 2020",8.661
"Jan 9, 2020",10.277
"Jan 10, 2020",1.088
"Jan 11, 2020",2.587
"Jan 12, 2020",5.388
"Jan 13, 2020",4.219
"Jan 14, 2020",8.427
"Jan 15, 2020",6.237
"Jan 16, 2020",9.94
"Jan 17, 2020",8.07
"Jan 18, 2020",6.067
"Jan 19, 2020",8.058
"Jan 20, 2020",6.224
"Jan 21, 2020",0.896
"Jan 22, 2020",1.338
"Jan 23, 2020",5.416
"Jan 24, 2020",5.829
"Jan 25, 2020",7.671
"Jan 26, 2020",10.974
"Jan 27, 2020",12.573
"Jan 28, 2020",7.436
"Jan 29, 2020",6.476
"Jan 30, 2020",9.435
"Jan 31, 2020",16.253
"Feb 1, 2020",2.848
"Feb 2, 2020",2.025
"Feb 3, 2020",8.627
"Feb 4, 2020",10.903
"Feb 5, 2020",8.595
"Feb 6, 2020",3.051
"Feb 7, 2020",3.724
"Feb 8, 2020",7.618
"Feb 9, 2020",9.41
"Feb 10, 2020",6.525
"Feb 11, 2020",15.205
"Feb 12, 2020",20.526
"Feb 13, 2020",6.514
"Feb 14, 2020",12.413
"Feb 15, 2020",4.788
"Feb 16, 2020",6.995
"Feb 17, 2020",6.165
"Feb 18, 2020",3.711
"Feb 19, 2020",7.734
"Feb 20, 2020",27.089
"Feb 21, 2020",13.733
"Feb 22, 2020",9.082
"Feb 23, 2020",15.517
"Feb 24, 2020",12.721
"Feb 25, 2020",26.419
"Feb 26, 2020",13.186
"Feb 27, 2020",7.517
"Feb 28, 2020",6.853
"Feb 29, 2020",5.699
"Mar 1, 2020",9.984
"Mar 2, 2020",14.026
"Mar 3, 2020",17.198
"Mar 4, 2020",5.829
"Mar 5, 2020",5.587
"Mar 6, 2020",4.674
"Mar 7, 2020",4.937
"Mar 8, 2020",20.395
"Mar 9, 2020",20.058
"Mar 10, 2020",8.449
"Mar 11, 2020",9.058
"Mar 12, 2020",4.182
"Mar 13, 2020",4.846
"Mar 14, 2020",14.19
"Mar 15, 2020",23.105
"Mar 16, 2020",3.842
"Mar 17, 2020",7.766
"Mar 18, 2020",12.772
"Mar 19, 2020",33.158
"Mar 20, 2020",25.626
"Mar 21, 2020",11.721
"Mar 22, 2020",5.493
"Mar 23, 2020",6.009
"Mar 24, 2020",14.962
"Mar 25, 2020",10.39
"Mar 26, 2020",6.145
"Mar 27, 2020",7.397
"Mar 28, 2020",5.705
"Mar 29, 2020",4.656
"Mar 30, 2020",7.049
"Mar 31, 2020",12.603
"Apr 1, 2020",16.04
"Apr 2, 2020",12.246
"Apr 3, 2020",10.522
"Apr 4, 2020",10.112
"Apr 5, 2020",7.072
"Apr 6, 2020",11.787
"Apr 7, 2020",9.404
"Apr 8, 2020",15.01
"Apr 9, 2020",23.939
"Apr 10, 2020",7.244
"Apr 11, 2020",11.088
"Apr 12, 2020",14.943
"Apr 13, 2020",15.836
"Apr 14, 2020",17.349
"Apr 15, 2020",14.754
"Apr 16, 2020",6.468
"Apr 17, 2020",17.53
"Apr 18, 2020",8.311
"Apr 19, 2020",14.26
"Apr 20, 2020",11.86
"Apr 21, 2020",9.385
"Apr 22, 2020",9.444
"Apr 23, 2020",10.517
"Apr 24, 2020",9.349
"Apr 25, 2020",7.568
"Apr 26, 2020",14.494
"Apr 27, 2020",3.656
"Apr 28, 2020",5.818
"Apr 29, 2020",7.032
"Apr 30, 2020",6.982
"May 1, 2020",5.715
"May 2, 2020",10.702
"May 3, 2020",8.054
"May 4, 2020",7.49
"May 5, 2020",13.079
"May 6, 2020",24.031
"May 7, 2020",13.37
"May 8, 2020",6.906
"May 9, 2020",4.292
"May 10, 2020",5.848
"May 11, 2020",7.091
"May 12, 2020",3.49
"May 13, 2020",3.331
"May 14, 2020",5.908
"May 15, 2020",6.606
"May 16, 2020",14.292
"May 17, 2020",9.182
"May 18, 2020",16.6
"May 19, 2020",14.725
"May 20, 2020",3.008
"May 21, 2020",7.055
"May 22, 2020",6.638
"May 23, 2020",10.96
"May 24, 2020",10.608
"May 25, 2020",4.048
"May 26, 2020",8.218
"May 27, 2020",1.292
"May 28, 2020",2.904
"May 29, 2020",5.994
"May 30, 2020",6.468
"May 31, 2020",7.545
"Jun 1, 2020",11.726
"Jun 2, 2020",9.99
"Jun 3, 2020",4.823
"Jun 4, 2020",4.727
"Jun 5, 2020",3.703
"Jun 6, 2020",4.287
"Jun 7, 2020",3.448
"Jun 8, 2020",2.188
"Jun 9, 2020",4.367
"Jun 10, 2020",5.503
"Jun 11, 2020",9.886
"Jun 12, 2020",8.283
"Jun 13, 2020",4.222
"Jun 14, 2020",1.645
"Jun 15, 2020",3.642
"Jun 16, 2020",5.355
"Jun 17, 2020",4.49
"Jun 18, 2020",2.375
"Jun 19, 2020",2.707
"Jun 20, 2020",0.829
"Jun 21, 2020",1.319
"Jun 22, 2020",3.848
